Date,Product_Category,Units_Sold,Daily_Revenue,Demand_Index,Day_of_Week,Is_Weekend,Is_Holiday,Price,Is_On_Sale,Avg_Daily_Temperature,Rainfall_mm
2021-01-01,Clothing,64,1920.0,61,4,0,1,30.0,0.0,15.755449652483767,1.3167931231428107
2021-01-01,Household,108,1620.0,61,4,0,1,15.0,0.0,15.755449652483767,1.3167931231428107
2021-01-01,Electronics,37,1850.0,61,4,0,1,50.0,0.0,15.755449652483767,1.3167931231428107
2021-01-02,Clothing,59,1770.0,56,5,1,0,30.0,0.0,15.474275033192814,1.5033427361350893
2021-01-02,Household,99,1485.0,56,5,1,0,15.0,0.0,15.474275033192814,1.5033427361350893
2021-01-02,Electronics,34,1700.0,56,5,1,0,50.0,0.0,15.474275033192814,1.5033427361350893
2021-01-03,Clothing,58,1740.0,56,6,1,0,30.0,0.0,17.11475613760575,0.7992366311777133
2021-01-03,Household,99,1485.0,56,6,1,0,15.0,0.0,17.11475613760575,0.7992366311777133
2021-01-03,Electronics,35,1750.0,56,6,1,0,50.0,0.0,17.11475613760575,
2021-01-04,Clothing,52,1560.0,51,0,0,0,30.0,0.0,17.83370286933573,0.0
2021-01-04,Household,90,1350.0,51,0,0,0,15.0,0.0,17.83370286933573,0.0
2021-01-04,Electronics,32,1600.0,51,0,0,0,50.0,0.0,17.83370286933573,0.0
2021-01-05,Clothing,48,1440.0,46,1,0,0,30.0,0.0,16.73485372991104,0.32522810051151163
2021-01-05,Household,97,1236.75,46,1,0,0,12.75,1.0,16.73485372991104,0.32522810051151163
2021-01-05,Electronics,29,1450.0,46,1,0,0,50.0,0.0,16.73485372991104,0.32522810051151163
2021-01-06,Clothing,51,1530.0,47,2,0,0,30.0,0.0,14.368826452821676,
2021-01-06,Household,100,1275.0,47,2,0,0,12.75,1.0,14.368826452821676,2.683538445587151
2021-01-06,Electronics,28,1400.0,47,2,0,0,50.0,0.0,14.368826452821676,2.683538445587151
2021-01-07,Clothing,56,1680.0,52,3,0,0,30.0,0.0,15.07661655051944,0.0
2021-01-07,Household,92,1380.0,52,3,0,0,15.0,0.0,15.07661655051944,0.0
2021-01-07,Electronics,32,1600.0,52,3,0,0,50.0,0.0,15.07661655051944,0.0
2021-01-08,Clothing,52,1560.0,47,4,0,0,30.0,0.0,13.364322169097255,0.3968288670099349
2021-01-08,Household,83,1245.0,47,4,0,0,15.0,0.0,13.364322169097255,0.3968288670099349
2021-01-08,Electronics,28,1400.0,47,4,0,0,50.0,0.0,13.364322169097255,
2021-01-09,Clothing,60,1800.0,57,5,1,0,30.0,0.0,15.527570292177833,1.164937914911902
2021-01-09,Household,101,1515.0,57,5,1,0,15.0,0.0,15.527570292177833,1.164937914911902
2021-01-09,Electronics,35,1750.0,57,5,1,0,50.0,0.0,15.527570292177833,1.164937914911902
2021-01-10,Clothing,67,2010.0,62,6,1,0,30.0,0.0,13.83410576972595,0.0
2021-01-10,Household,110,1650.0,62,6,1,0,15.0,0.0,13.83410576972595,0.0
2021-01-10,Electronics,37,1850.0,62,6,1,0,50.0,0.0,13.83410576972595,0.0
2021-01-11,Clothing,49,1470.0,47,0,0,0,30.0,0.0,16.804175435565863,0.11901465655964394
2021-01-11,Household,83,1245.0,47,0,0,0,15.0,0.0,16.804175435565863,0.11901465655964394
2021-01-11,Electronics,29,1450.0,47,0,0,0,50.0,0.0,16.804175435565863,0.11901465655964394
2021-01-12,Clothing,49,1470.0,48,1,0,0,30.0,0.0,,
2021-01-12,Household,84,1260.0,48,1,0,0,15.0,0.0,17.719952256694437,0.42002009801392526
2021-01-12,Electronics,30,1500.0,48,1,0,0,50.0,0.0,,0.42002009801392526
2021-01-13,Clothing,54,1620.0,53,2,0,0,30.0,0.0,18.25506891263805,0.0
2021-01-13,Household,93,1395.0,53,2,0,0,15.0,0.0,18.25506891263805,0.0
2021-01-13,Electronics,34,1700.0,53,2,0,0,50.0,0.0,18.25506891263805,0.0
2021-01-14,Clothing,47,1410.0,48,3,0,0,30.0,0.0,20.243641773743867,3.1370633281377778
2021-01-14,Household,84,1260.0,48,3,0,0,15.0,,20.243641773743867,3.1370633281377778
2021-01-14,Electronics,31,1550.0,48,3,0,0,50.0,0.0,20.243641773743867,3.1370633281377778
2021-01-15,Clothing,53,1590.0,53,4,0,0,30.0,0.0,19.077033400982007,0.0
2021-01-15,Household,93,1395.0,53,4,0,0,15.0,0.0,19.077033400982007,0.0
2021-01-15,Electronics,34,1700.0,53,4,0,0,50.0,0.0,19.077033400982007,0.0
2021-01-16,Clothing,64,1920.0,63,5,1,0,30.0,0.0,18.419154948593917,0.0
2021-01-16,Household,111,1665.0,63,5,1,0,15.0,0.0,18.419154948593917,0.0
2021-01-16,Electronics,40,2000.0,63,5,1,0,50.0,0.0,18.419154948593917,0.0
2021-01-17,Clothing,65,1950.0,63,6,1,0,30.0,0.0,17.06707642616704,0.0
2021-01-17,Household,111,1665.0,63,6,1,0,15.0,0.0,,0.0
2021-01-17,Electronics,39,1950.0,63,6,1,0,50.0,0.0,17.06707642616704,0.0
2021-01-18,Clothing,50,1500.0,49,0,0,0,30.0,0.0,18.430452572896332,4.422462665871697
2021-01-18,Household,86,1290.0,49,0,0,0,15.0,0.0,18.430452572896332,4.422462665871697
2021-01-18,Electronics,31,1550.0,49,0,0,0,50.0,0.0,18.430452572896332,4.422462665871697
2021-01-19,Clothing,46,1380.0,49,1,0,0,30.0,0.0,22.310832955414693,2.1374328661497883
2021-01-19,Household,86,1290.0,49,1,0,0,15.0,0.0,22.310832955414693,2.1374328661497883
2021-01-19,Electronics,33,1650.0,49,1,0,0,50.0,0.0,22.310832955414693,2.1374328661497883
2021-01-20,Clothing,52,1560.0,49,2,0,0,30.0,0.0,16.185355318707916,0.37895914453210056
2021-01-20,Household,86,1290.0,49,2,0,0,15.0,0.0,16.185355318707916,0.37895914453210056
2021-01-20,Electronics,30,1500.0,49,2,0,0,50.0,,16.185355318707916,0.37895914453210056
2021-01-21,Clothing,53,1590.0,49,3,0,0,30.0,0.0,14.35326240330184,0.1545799596880928
2021-01-21,Household,86,1290.0,49,3,0,0,15.0,0.0,14.35326240330184,0.1545799596880928
2021-01-21,Electronics,30,1500.0,49,3,0,0,50.0,0.0,14.35326240330184,0.1545799596880928
2021-01-22,Clothing,51,1530.0,49,4,0,0,30.0,0.0,17.280657409393974,0.3492165883870424
2021-01-22,Household,86,1290.0,49,4,0,0,15.0,0.0,17.280657409393974,0.3492165883870424
2021-01-22,Electronics,31,1550.0,49,4,0,0,50.0,0.0,17.280657409393974,0.3492165883870424
2021-01-23,Clothing,62,1860.0,59,5,1,0,30.0,0.0,16.31172839285245,1.9175504045297989
2021-01-23,Household,104,1560.0,59,5,1,0,15.0,0.0,16.31172839285245,1.9175504045297989
2021-01-23,Electronics,36,1800.0,59,5,1,0,50.0,0.0,16.31172839285245,1.9175504045297989
2021-01-24,Clothing,61,1830.0,60,6,1,0,30.0,0.0,18.536117036899256,0.15048822218230562
2021-01-24,Household,106,1590.0,60,6,1,0,15.0,0.0,18.536117036899256,0.15048822218230562
2021-01-24,Electronics,38,1900.0,60,6,1,0,50.0,0.0,18.536117036899256,0.15048822218230562
2021-01-25,Clothing,48,1440.0,50,0,0,0,30.0,0.0,21.19658509141999,2.5864029074948625
2021-01-25,Household,88,1320.0,50,0,0,0,15.0,0.0,21.19658509141999,2.5864029074948625
2021-01-25,Electronics,33,1650.0,50,0,0,0,50.0,0.0,21.19658509141999,2.5864029074948625
2021-01-26,Clothing,76,1938.0,55,1,0,0,25.5,1.0,18.63415282674686,0.0
2021-01-26,Household,97,1455.0,55,1,0,0,15.0,0.0,18.63415282674686,0.0
2021-01-26,Electronics,35,1750.0,55,1,0,0,50.0,0.0,18.63415282674686,0.0
2021-01-27,Clothing,67,1708.5,50,2,0,0,25.5,1.0,20.039859002245166,0.9750680778667542
2021-01-27,Household,88,1320.0,50,2,0,0,15.0,0.0,20.039859002245166,
2021-01-27,Electronics,33,1650.0,50,2,0,0,50.0,0.0,20.039859002245166,
2021-01-28,Clothing,66,1683.0,50,3,0,0,25.5,1.0,20.979181010764396,0.0636102905299043
2021-01-28,Household,88,1320.0,50,3,0,0,15.0,0.0,20.979181010764396,0.0636102905299043
