Date,Product_Category,Demand_Index,Day_of_Week,Is_Weekend,Is_Holiday,Price,Is_On_Sale,Avg_Daily_Temperature,Rainfall_mm,Units_Sold_Log
01-01-2021,0,0.599666239,4,0,1,-0.072617821,0,0.102702913,-0.017876334,4.17438727
01-01-2021,2,0.599666239,4,0,1,-1.131254622,0,0.102702913,-0.017876334,4.691347882
01-01-2021,1,0.599666239,4,0,1,1.338897914,0,0.102702913,-0.017876334,3.63758616
02-01-2021,0,0.142544025,5,1,0,-0.072617821,0,0.064790664,0.019107445,4.094344562
02-01-2021,2,0.142544025,5,1,0,-1.131254622,0,0.064790664,0.019107445,4.605170186
02-01-2021,1,0.142544025,5,1,0,1.338897914,0,0.064790664,0.019107445,3.555348061
03-01-2021,0,0.142544025,6,1,0,-0.072617821,0,0.285985335,-0.12048279,4.077537444
03-01-2021,2,0.142544025,6,1,0,-1.131254622,0,0.285985335,-0.12048279,4.605170186
03-01-2021,1,0.142544025,6,1,0,1.338897914,0,0.285985335,-0.12048279,3.583518938
04-01-2021,0,-0.31457819,0,0,0,-0.072617821,0,0.382924693,-0.278932814,3.970291914
04-01-2021,2,-0.31457819,0,0,0,-1.131254622,0,0.382924693,-0.278932814,4.510859507
04-01-2021,1,-0.31457819,0,0,0,1.338897914,0,0.382924693,-0.278932814,3.496507561
05-01-2021,0,-0.771700404,1,0,0,-0.072617821,0,0.234761101,-0.214455789,3.891820298
05-01-2021,2,-0.771700404,1,0,0,-1.290050142,1,0.234761101,-0.214455789,4.584967479
05-01-2021,1,-0.771700404,1,0,0,1.338897914,0,0.234761101,-0.214455789,3.401197382
06-01-2021,0,-0.680275961,2,0,0,-0.072617821,0,-0.084262765,-0.214455789,3.951243719
06-01-2021,2,-0.680275961,2,0,0,-1.290050142,1,-0.084262765,0.253083255,4.615120517
06-01-2021,1,-0.680275961,2,0,0,1.338897914,0,-0.084262765,0.253083255,3.36729583
07-01-2021,0,-0.223153747,3,0,0,-0.072617821,0,0.011172286,-0.278932814,4.043051268
07-01-2021,2,-0.223153747,3,0,0,-1.131254622,0,0.011172286,-0.278932814,4.532599493
07-01-2021,1,-0.223153747,3,0,0,1.338897914,0,0.011172286,-0.278932814,3.496507561
08-01-2021,0,-0.680275961,4,0,0,-0.072617821,0,-0.219705345,-0.200260815,3.970291914
08-01-2021,2,-0.680275961,4,0,0,-1.131254622,0,-0.219705345,-0.200260815,4.430816799
08-01-2021,1,-0.680275961,4,0,0,1.338897914,0,-0.219705345,-0.200260815,3.36729583
09-01-2021,0,0.233968467,5,1,0,-0.072617821,0,0.071976744,-0.047981888,4.110873864
09-01-2021,2,0.233968467,5,1,0,-1.131254622,0,0.071976744,-0.047981888,4.624972813
09-01-2021,1,0.233968467,5,1,0,1.338897914,0,0.071976744,-0.047981888,3.583518938
10-01-2021,0,0.691090682,6,1,0,-0.072617821,0,-0.156361959,-0.278932814,4.219507705
10-01-2021,2,0.691090682,6,1,0,-1.131254622,0,-0.156361959,-0.278932814,4.709530201
10-01-2021,1,0.691090682,6,1,0,1.338897914,0,-0.156361959,-0.278932814,3.63758616
11-01-2021,0,-0.680275961,0,0,0,-0.072617821,0,0.24410811,-0.255337956,3.912023005
11-01-2021,2,-0.680275961,0,0,0,-1.131254622,0,0.24410811,-0.255337956,4.430816799
11-01-2021,1,-0.680275961,0,0,0,1.338897914,0,0.24410811,-0.255337956,3.401197382
12-01-2021,0,-0.588851518,1,0,0,-0.072617821,0,0.305847606,-0.255337956,3.912023005
12-01-2021,2,-0.588851518,1,0,0,-1.131254622,0,0.367587101,-0.195663114,4.442651256
12-01-2021,1,-0.588851518,1,0,0,1.338897914,0,0.403663394,-0.195663114,3.433987204
13-01-2021,0,-0.131729304,2,0,0,-0.072617821,0,0.439739686,-0.278932814,4.007333185
13-01-2021,2,-0.131729304,2,0,0,-1.131254622,0,0.439739686,-0.278932814,4.543294782
13-01-2021,1,-0.131729304,2,0,0,1.338897914,0,0.439739686,-0.278932814,3.555348061
14-01-2021,0,-0.588851518,3,0,0,-0.072617821,0,0.707869393,0.342995336,3.871201011
14-01-2021,2,-0.588851518,3,0,0,-1.131254622,0,0.707869393,0.342995336,4.442651256
14-01-2021,1,-0.588851518,3,0,0,1.338897914,0,0.707869393,0.342995336,3.465735903
15-01-2021,0,-0.131729304,4,0,0,-0.072617821,0,0.550569469,-0.278932814,3.988984047
15-01-2021,2,-0.131729304,4,0,0,-1.131254622,0,0.550569469,-0.278932814,4.543294782
15-01-2021,1,-0.131729304,4,0,0,1.338897914,0,0.550569469,-0.278932814,3.555348061
16-01-2021,0,0.782515124,5,1,0,-0.072617821,0,0.461864267,-0.278932814,4.17438727
16-01-2021,2,0.782515124,5,1,0,-1.131254622,0,0.461864267,-0.278932814,4.718498871
16-01-2021,1,0.782515124,5,1,0,1.338897914,0,0.461864267,-0.278932814,3.713572067
17-01-2021,0,0.782515124,6,1,0,-0.072617821,0,0.279556429,-0.278932814,4.189654742
17-01-2021,2,0.782515124,6,1,0,-1.131254622,0,0.279556429,-0.278932814,4.718498871
17-01-2021,1,0.782515124,6,1,0,1.338897914,0,0.279556429,-0.278932814,3.688879454
18-01-2021,0,-0.497427075,0,0,0,-0.072617821,0,0.463387585,0.597827945,3.931825633
18-01-2021,2,-0.497427075,0,0,0,-1.131254622,0,0.463387585,0.597827945,4.465908119
18-01-2021,1,-0.497427075,0,0,0,1.338897914,0,0.463387585,0.597827945,3.465735903
19-01-2021,0,-0.497427075,1,0,0,-0.072617821,0,0.986599621,0.144816893,3.850147602
19-01-2021,2,-0.497427075,1,0,0,-1.131254622,0,0.986599621,0.144816893,4.465908119
19-01-2021,1,-0.497427075,1,0,0,1.338897914,0,0.986599621,0.144816893,3.526360525
20-01-2021,0,-0.497427075,2,0,0,-0.072617821,0,0.160669348,-0.203803518,3.970291914
